loss,recall@1,recall@5,recall@10,alignment,uniformnity,val_recall@1,val_recall@5,val_recall@10,val_alignment,val_uniformnity
5.633942604064941,0.0018909549322407816,0.005357705641348881,0.011660888748818153,1.585631251335144,-1.2156440019607544,0.0084985835694051,0.028328611898016998,0.06232294617563739,1.599858045578003,-1.1895185708999634
4.786880016326904,0.030255278915852505,0.09486290576741255,0.15159155373463598,0.840937077999115,-2.741708517074585,0.09915014164305949,0.28611898016997167,0.4192634560906516,0.9411532878875732,-2.772973895072937
3.7613754272460938,0.1358335959659628,0.333123227229751,0.44248345414434287,0.45331135392189026,-2.9025049209594727,0.2577903682719547,0.45609065155807366,0.6118980169971672,0.6352667212486267,-2.906256675720215
3.271420478820801,0.24897573274503623,0.5351402458241412,0.6659312953041285,0.3120325803756714,-2.943673253059387,0.22946175637393768,0.5269121813031161,0.6657223796033994,0.5806424617767334,-2.946264624595642
2.99773907661438,0.3923731484399622,0.7072171446580523,0.8168925307280176,0.2418956458568573,-3.0095479488372803,0.2776203966005666,0.5609065155807366,0.6742209631728046,0.5773348212242126,-3.0008065700531006
2.8245503902435303,0.49984242042231325,0.8064922786006934,0.8963126378821304,0.2062825858592987,-3.0508646965026855,0.2719546742209632,0.5694050991501416,0.7110481586402266,0.584128737449646,-3.039641857147217
2.683622360229492,0.5682319571383548,0.8692089505200126,0.9398046013236685,0.18198171257972717,-3.058699131011963,0.26628895184135976,0.5920679886685553,0.7223796033994334,0.5836746692657471,-3.0554635524749756
2.5870659351348877,0.7481878348566026,0.960605105578317,0.9873936337850615,0.1331210732460022,-3.090051054954529,0.28611898016997167,0.5779036827195467,0.7393767705382436,0.5596198439598083,-3.0770294666290283
2.501957893371582,0.8140560983296565,0.9776236999684841,0.9933816577371573,0.11514419317245483,-3.1184624433517456,0.3087818696883853,0.5920679886685553,0.7252124645892352,0.5740474462509155,-3.0977896451950073
2.444261312484741,0.8272927828553419,0.9776236999684841,0.9924361802710369,0.11312367022037506,-3.1054643392562866,0.31444759206798867,0.56657223796034,0.71671388101983,0.5967722535133362,-3.0853668451309204
2.392364025115967,0.9070280491648283,0.9924361802710369,0.9984242042231327,0.08913359045982361,-3.1354622840881348,0.311614730878187,0.603399433427762,0.7450424929178471,0.5714681148529053,-3.128302812576294
2.3731541633605957,0.9120705956508036,0.9943271352032776,0.9981090450677592,0.08998644351959229,-3.138938784599304,0.3087818696883853,0.5920679886685553,0.7110481586402266,0.5994623303413391,-3.1097514629364014
2.3337481021881104,0.9385439647021746,0.9949574535140245,0.9984242042231327,0.07970459759235382,-3.1574559211730957,0.311614730878187,0.6118980169971672,0.7478753541076487,0.5712364315986633,-3.1428651809692383
2.3035504817962646,0.9533564450047274,0.9965332492908919,0.9987393633785061,0.07260634750127792,-3.178335428237915,0.32011331444759206,0.6203966005665722,0.7450424929178471,0.5779888033866882,-3.1659796237945557
2.2875988483428955,0.9716356760163882,0.9981090450677592,0.9990545225338796,0.06723304092884064,-3.188244581222534,0.311614730878187,0.6118980169971672,0.7450424929178471,0.5842400193214417,-3.173232316970825
2.2726972103118896,0.9703750393948944,0.9977938859123857,0.9993696816892531,0.06663406640291214,-3.190016984939575,0.32577903682719545,0.5977337110481586,0.7195467422096318,0.5903944969177246,-3.163793206214905
2.253034830093384,0.9728963126378821,0.9990545225338796,1.0,0.0628354400396347,-3.1999642848968506,0.34560906515580736,0.6203966005665722,0.7422096317280453,0.5838252902030945,-3.1888264417648315
2.2405288219451904,0.9791994957453514,0.9987393633785061,1.0,0.06135516241192818,-3.2164382934570312,0.34277620396600567,0.6147308781869688,0.7393767705382436,0.5943974852561951,-3.2099002599716187
2.235506057739258,0.9826662464544595,0.9990545225338796,1.0,0.05630390718579292,-3.2196860313415527,0.35127478753541075,0.6147308781869688,0.7422096317280453,0.5904139876365662,-3.2147903442382812
2.2196717262268066,0.9832965647652064,0.9996848408446265,1.0,0.0554957278072834,-3.225980520248413,0.34277620396600567,0.623229461756374,0.7478753541076487,0.5933868288993835,-3.218490481376648
